Codigo	Departamento	Municipio
205670011	Antioquia	 san roque
205674011	Antioquia	 san vicente
205679011	Antioquia	 santa bárbara
205042011	Antioquia	 santa fe de antioquia
205686011	Antioquia	 santa rosa de osos
205690011	Antioquia	 santo domingo
205697011	Antioquia	 santuario
205736011	Antioquia	 segovia
205756011	Antioquia	 sonsón
205761011	Antioquia	 sopetrán
205789011	Antioquia	 támesis
205790011	Antioquia	 tarazá
205792011	Antioquia	 tarso
205809011	Antioquia	 titiribí
205819011	Antioquia	 toledo
205837011	Antioquia	 turbo
205842011	Antioquia	 uramita
205847011	Antioquia	 urrao
205854011	Antioquia	 valdivia
205856011	Antioquia	 valparaíso
205858011	Antioquia	 vegachí
205861011	Antioquia	 venecia
205873011	Antioquia	 vigía del fuerte
205885011	Antioquia	 yali
205887011	Antioquia	 yarumal
205890011	Antioquia	 yolombó
205893011	Antioquia	 yondó
205895011	Antioquia	 zaragoza
281001011	Arauca	 arauca
281065011	Arauca	 arauquita
281220011	Arauca	 cravo norte
281001012	Arauca	 fortul
281220012	Arauca	 puerto rondón
281736011	Arauca	 saravena
281794011	Arauca	 tame
208001001	Atlántico	
208078011	Atlántico	 baranoa
208137011	Atlántico	 campo de la cruz
208141011	Atlántico	 candelaria
208296011	Atlántico	 galapa
208372011	Atlántico	 juan de acosta
208421011	Atlántico	 luruaco
208433011	Atlántico	 malambo
208436011	Atlántico	 manatí
208520011	Atlántico	 palmar de varela
208549011	Atlántico	 piojo
208558011	Atlántico	 polonuevo
208560011	Atlántico	 ponedera
208573011	Atlántico	 puerto colombia
208606011	Atlántico	 repelón
208634011	Atlántico	 sabanagrande
208638011	Atlántico	 sabanalarga
208675011	Atlántico	 santa lucia
208685011	Atlántico	 santo tomas
208758011	Atlántico	 soledad
208770011	Atlántico	 suan
208832011	Atlántico	 tubara
208849011	Atlántico	 usiacuri
213001021	Bolívar	
213006011	Bolívar	 achi
213030011	Bolívar	 altos del rosario
213042011	Bolívar	 arenal
213052011	Bolívar	 arjona
213062011	Bolívar	 arroyohondo
213074011	Bolívar	 barranco de loba
213140011	Bolívar	 calamar
213160011	Bolívar	 cantagallo
213244011	Bolívar	 carmen de bolívar
213188011	Bolívar	 cicuco
213222011	Bolívar	 clemencia
213212011	Bolívar	 córdoba
213248011	Bolívar	 el guamo
213268011	Bolívar	 el peñón
213300011	Bolívar	 hatillo de loba
213430011	Bolívar	 magangué
213433011	Bolívar	 mahates
213440011	Bolívar	 margarita
213442011	Bolívar	 maría la baja
213468011	Bolívar	 mompós
213458011	Bolívar	 montecristo
213473011	Bolívar	 morales
213490011	Bolívar	 norosí
213549011	Bolívar	 pinillos
